,party,party_name,party_en,party_id,country,year,family,lrecon,lrecon_salience,galtan,galtan_salience,israel_palestine,israel_palestine_salience,lrgen,jewish_immigration,non_jewish_immigration,multiculturalism,redistribution,environment,spendvtax,civlib_laworder,abortion,jewish_settlements,palestinian_state,democratic_v_jewish_state,gender_equality,arab_world,religious_principles,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,ukraine_support
10,UTJ,יהדות התורה,United Torah Judaism,9707,IL,2022,Nationalist,3.0,5.8947368,9.8095236,8.8999996,7.8095236,3.05,7.2857141,6.3333335,9.8947372,8.0,3.3888888,8.5,2.6666667,6.8000002,8.0625,7.7058825,8.0,9.863636,8.8999996,5.4545455,10.0,3.7857144,2.6153846,6.625,0.75,1.5
11,UTJ,יהדות התורה,United Torah Judaism,9707,IL,2021,Communal,2.8888888,5.25,9.5,8.3500004,7.0526314,2.409091,6.5,,9.166667,4.8333335,2.25,7.3333335,2.625,5.909091,9.0,6.8499999,6.8421054,9.772727,8.833333,4.3000002,,3.6153846,3.5555556,5.0500002,0.90476191,
12,YB,ישראל ביתנו,Yisrael Beitenu,9708,IL,2021,Conservative,7.4545455,5.6190476,4.1363635,5.8571429,7.9130435,4.5,7.1904764,,6.7142859,6.0,6.4736843,6.1666665,6.8000002,7.4499998,2.6153846,7.681818,7.909091,3.2,4.0,3.9230769,,5.375,4.5,3.9473684,4.4761906,
13,YB,ישראל ביתנו,Yisrael Beitenu,9708,IL,2022,Liberal,6.9523811,6.1904764,4.590909,6.6999998,6.8636365,4.2857141,6.6363635,1.3125,6.6666665,4.8571429,7.0526314,6.4000001,7.1052632,7.1904764,2.5384614,7.1428571,7.181818,3.9523809,4.4117646,4.7857141,1.2380953,3.2222223,2.9285715,2.5625,5.5789475,4.6666665
14,RZ,הציונות הדתית,Religious Zionism,9709,IL,2022,Nationalist,7.6999998,3.8571429,9.727273,9.136364,9.954545,8.909091,9.863636,6.7647057,9.75,8.0,7.7647057,7.7692308,7.6842103,9.6499996,7.5882354,10.0,10.0,9.4761906,8.1000004,6.4615383,9.666667,8.2631578,5.6153846,9.166667,1.5,2.25
15,RZ,הציונות הדתית,Religious Zionism,9709,IL,2021,Nationalist,6.6111112,3.0,9.318182,7.6666665,9.863636,8.608696,9.363636,,9.4375,6.0,6.6875,7.3333335,6.0769229,8.2631578,8.6315794,9.863636,9.9523811,9.227273,7.5,6.1875,,8.6111107,6.6153846,6.6666665,1.7619047,
16,JL,הרשימה המשותפת,Joint List,9710,IL,2021,Socialist,1.8095238,5.3636365,4.7142859,5.0,0.17391305,8.434783,0.54545456,,1.4615384,4.3333335,1.4,4.4545455,1.4210526,2.1578948,4.8000002,0.13636364,0.045454547,0.13636364,3.8125,1.5294118,,0.26666668,4.625,4.7647057,4.6111112,
17,NH,תקווה חדשה,New Hope,9711,IL,2021,Liberal,7.0952382,4.304348,4.1500001,4.9473686,7.5652175,4.2608695,7.090909,,7.5999999,5.4285712,6.5263157,5.8333335,6.647059,5.8947368,3.6153846,7.5714288,7.6666665,5.7222223,3.4705882,3.1428571,,2.8,3.4166667,2.7222223,8.5789471,
18,Meretz,מרצ,Meretz,9712,IL,2021,Green,2.3043478,5.695652,1.0,8.0952377,1.3043479,7.130435,1.8181819,,2.1764705,5.0,2.0476191,1.8,1.9,1.5,0.89999998,0.5,0.59090906,1.1818181,0.80952382,1.2777778,,0.47058824,2.75,2.3,8.227273,
19,Meretz,מרצ,Meretz,9712,IL,2022,Green,2.7272727,5.3809524,1.0454545,8.0476189,1.4761904,6.3636365,1.8181819,1.75,2.7368422,2.5,2.8095238,2.2,2.6500001,1.1904762,0.94444442,0.61904764,0.90909094,1.1818181,0.80000001,1.7222222,0.5714286,0.44444445,3.2307692,1.5555556,7.7727275,8.0
20,Ra'am,"רע""מ",Ra'am,9713,IL,2021,SocDem,3.0555556,5.7272725,8.3809528,6.0,0.73913044,5.869565,2.5238094,,1.75,5.75,1.9333333,5.8571429,2.0,4.1333332,8.6428576,1.1818181,0.31818181,0.5714286,6.5625,1.6,,0.25,3.5555556,3.7333333,2.7647059,
21,Ra'am,"רע""מ",Ra'am,9713,IL,2022,SocDem,3.25,5.1875,8.0500002,5.125,0.7368421,5.352941,3.1764705,10.0,2.5999999,5.0,3.3846154,5.8000002,2.7692308,4.6666665,7.75,0.40000001,0.36363637,0.86363637,7.6153846,1.2666667,7.375,0.6875,2.1111112,2.5999999,2.75,
22,SC,המחנה הממלכתי,State Camp,9714,IL,2022,Conservative,5.5555553,3.3499999,4.2380953,4.5,5.3333335,4.9000001,5.4000001,2.5714285,6.3125,5.4000001,5.352941,5.1428571,5.1999998,5.0625,3.6153846,5.0,4.8571429,4.5789475,3.7647059,3.5333333,4.1111112,2.0588236,3.1818182,1.8823529,7.1904764,5.0
23,H-T,"חד""ש-תע""ל",Hadash-Ta'al,9715,IL,2022,Socialist,1.6666666,4.75,3.8571429,4.7857141,0.42857143,8.1111107,1.0476191,9.8571424,1.7142857,5.0,1.3888888,2.75,1.5625,1.5833334,2.5555556,0.047619049,0.045454547,0.18181819,2.6428571,1.9375,1.0,0.06666667,3.625,3.75,4.2307692,6.0
24,Balad,"בל""ד",Balad,9716,IL,2022,SocDem,3.75,3.3333333,5.2222223,4.5,0.095238097,8.7777777,0.71428573,10.0,1.0,5.0,2.5,4.6666665,2.8333333,3.0,2.6666667,0.050000001,0.22727273,0.090909094,2.25,2.375,0.75,0.13333334,2.1666667,4.0,2.5999999,
